date,asset,r2,mae,sign_acc,alpha
2021-03-02,asset,0.0012449206748904595,0.009998000634937379,0.5125,10.0
2021-03-31,asset,-0.028011324112629188,0.01170388273494578,0.46875,10.0
2021-04-30,asset,-0.0458067315541717,0.007684459666988724,0.5375,10.0
2021-06-01,asset,-0.021552464974497587,0.008724053764706464,0.6125,10.0
2021-06-30,asset,-0.005407918483815166,0.007192334329864211,0.55625,10.0
2021-07-30,asset,-0.023961844995380455,0.008927339968491852,0.525,10.0
2021-08-30,asset,-0.005225551168537068,0.008418412603530814,0.5625,10.0
2021-09-29,asset,-0.036115732612702844,0.008569347098589624,0.43125,10.0
2021-10-28,asset,-0.034072867719914024,0.007059432156604306,0.55,10.0
2021-11-29,asset,-0.03767300485092062,0.009194594147233285,0.48125,10.0
2021-12-29,asset,-0.06638366077607327,0.009888491593137195,0.50625,10.0
2022-01-28,asset,-0.012016232019246731,0.010567851815184087,0.4875,10.0
2022-03-01,asset,-0.0035590288958984306,0.012376067358733858,0.5375,10.0
2022-03-30,asset,-0.004118925933883633,0.016670920522339667,0.5125,10.0
2022-04-29,asset,-0.04452601031201153,0.012400001473685012,0.425,10.0
2022-05-31,asset,-0.0035443951249101158,0.015297901622007087,0.4875,10.0
2022-06-30,asset,-0.07090309269642314,0.014026966852397465,0.35625,10.0
2022-08-01,asset,-0.022695328741358267,0.012001635646978117,0.48125,10.0
2022-08-30,asset,-0.023814177478554743,0.011166871992604854,0.49375,10.0
2022-09-29,asset,-0.025302138601610347,0.013103853778886237,0.5375,10.0
2022-10-28,asset,-0.0066888963385944855,0.012741527438870432,0.475,10.0
2022-11-29,asset,-0.019290815439455766,0.013565232496509755,0.48125,10.0
2022-12-29,asset,-0.010537705498022465,0.01081561743299732,0.45625,10.0
2023-01-31,asset,-0.04661744728194783,0.009885329880051693,0.6,10.0
2023-03-02,asset,-0.02211652233307726,0.008969035037036253,0.4625,10.0
2023-03-31,asset,-0.010506694411138495,0.012009197050058582,0.53125,10.0
2023-05-02,asset,-0.009754356019878951,0.007801720998417631,0.49375,10.0
2023-06-01,asset,-0.004983600336033955,0.009666463002977447,0.48125,10.0
2023-07-03,asset,-0.0016080400051503574,0.008608439745147392,0.51875,10.0
2023-08-02,asset,-0.025333232453884635,0.008279418148887026,0.56875,10.0
2023-08-31,asset,-0.0017294876503783918,0.006915970799035999,0.4625,10.0
2023-10-02,asset,-0.10743494395820874,0.007250626208024434,0.41875,10.0
2023-10-31,asset,-0.004973700922239255,0.009299158895260298,0.53125,10.0
2023-11-30,asset,-0.016151463549134215,0.00896014170269685,0.56875,10.0
